Matrix	Sub Matrix	Sub Matrix	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
marine layer	marine pelagic zone	oceanic abyssopelagic zone	ENVO:01000038	oceanic abyssopelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic bathypelagic zone	ENVO:01000037	oceanic bathypelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic benthopelagic zone	ENVO:01000040	oceanic benthopelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic epipelagic zone	ENVO:01000035	oceanic epipelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic hadal pelagic zone	ENVO:01000039	oceanic hadal pelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic mesopelagic zone	ENVO:01000036	oceanic mesopelagic zone	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
marine layer	marine pelagic zone	oceanic sea surface microlayer	ENVO:01000034	oceanic sea surface microlayer	marine pelagic zone											http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface			ENVO:01001191	water surface												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	lake surface		ENVO:00000105	lake surface												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	ice lead		ENVO:01001551	ice lead												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	pelagic isohaline surface		ENVO:01000081	pelagic isohaline surface												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	pelagic isopycnal surface		ENVO:01000083	pelagic isopycnal surface												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	pelagic isothermal surface		ENVO:01000080	pelagic isothermal surface												http://bcodmo/sm#matrix	http://bcodmo/sm#context
water surface	turbulent aquatic surface layer		ENVO:01000862	turbulent aquatic surface layer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
aquifer			ENVO:00012408	aquifer												http://bcodmo/sm#matrix	http://bcodmo/sm#context
arrugado			ENVO:00000538	arrugado												http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere			ENVO:01000811	atmosphere												http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric column		ENVO:01000675	atmospheric column	atmosphere											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer		ENVO:01000543	atmospheric layer	atmosphere											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	atmospheric boundary layer	ENVO:01000323	atmospheric boundary layer	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	exosphere	ENVO:01000546	exosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	free atmosphere	ENVO:01001712	free atmosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	frontal surface of a weather front	ENVO:01001672	frontal surface of a weather front	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	ionosphere	ENVO:01000545	ionosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	mesosphere	ENVO:01000539	mesosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	ozone layer	ENVO:01000542	ozone layer	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	stratosphere	ENVO:01000538	stratosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	thermosphere	ENVO:01000541	thermosphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
atmosphere	atmospheric layer	troposphere	ENVO:01000540	troposphere	atmospheric layer											http://bcodmo/sm#matrix	http://bcodmo/sm#context
backwater			ENVO:00000472	backwater												http://bcodmo/sm#matrix	http://bcodmo/sm#context
bar			ENVO:00000167	bar												http://bcodmo/sm#matrix	http://bcodmo/sm#context
bar	spit		ENVO:00000306	spit	bar											http://bcodmo/sm#matrix	http://bcodmo/sm#context
bar	tombolo		ENVO:00000420	tombolo	bar											http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach			ENVO:00000091	beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	lacustrine beach		ENVO:00000093	lacustrine beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	raised beach		ENVO:00000415	raised beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	raised beach	machair	ENVO:00000417	machair												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	sandy beach		ENVO:00002199	sandy beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	sea beach		ENVO:00000092	sea beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
beach	shingle beach		ENVO:00000545	shingle beach												http://bcodmo/sm#matrix	http://bcodmo/sm#context
blowhole			ENVO:01000686	blowhole												http://bcodmo/sm#matrix	http://bcodmo/sm#context
brackish water body			ENVO:01000109	brackish water body												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal			ENVO:01000108	canal												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	aquaduct		ENVO:01000065	aquaduct												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	drainage canal		ENVO:00000042	drainage canal												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	flume		ENVO:00000079	flume												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	irrigation canal		ENVO:00000036	irrigation canal												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	irrigation canal	underground irrigation canal	ENVO:00000505	underground irrigation canal												http://bcodmo/sm#matrix	http://bcodmo/sm#context
canal	navigation canal		ENVO:00000048	navigation canal												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave			ENVO:00000067	cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	anchialine cave		ENVO:01000367	anchialine cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	glacier cave		ENVO:01000364	glacier cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	ice cave		ENVO:01000365	ice cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	rock shelter		ENVO:00000440	rock shelter												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	sea cave		ENVO:00000326	sea cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
cave	limestone cave		ENVO:01000359	limestone cave												http://bcodmo/sm#matrix	http://bcodmo/sm#context
channel			ENVO:03000117	channel												http://bcodmo/sm#matrix	http://bcodmo/sm#context
