### BCODMO_SM Matrix Material terms:
ENVO:01000748	#continental crust
ENVO:00000293	#continental divide
ENVO:00000221	#continental island
ENVO:01000298	#continental margin
ENVO:00000274	#continental rise
ENVO:00000223	#continental shelf
ENVO:00000273	#continental slope
ENVO:01001294	#convective storm
ENVO:00000150	#coral reef
ENVO:00000138	#cove
ENVO:00000514	#crater
ENVO:01001062	#crater lake
ENVO:03000039	#cryoconite hole
ENVO:01001297	#cyclone
ENVO:01000330	#cypress strand swamp
ENVO:01000331	#cypress swamp
ENVO:00000236	#dambo
ENVO:01000326	#deep chlorophyll maximum layer
ENVO:01000098	#deep ocean current
ENVO:00000101	#delta
ENVO:1000750	#depositional island
ENVO:01000286	#dimictic lake
ENVO:00000069	#distributary
ENVO:00000518	#ditch mouth
ENVO:01000328	#dome swamp
ENVO:00000042	#drainage canal
ENVO:01000104	#eastern boundary current
ENVO:00000197	#endorheic lake
ENVO:03000018	#englacial stream
ENVO:00000368	#ephemeral island
ENVO:00000204	#ephemeral spring
ENVO:00002131	#epilimnion
ENVO:01000092	#equatorial upwelling front
ENVO:01001314	#estuarine coastal lower water column
ENVO:01001313	#estuarine coastal pycnocline
ENVO:01001302	#estuarine coastal surface layer
ENVO:01001312	#estuarine coastal upper water column
ENVO:01000084	#estuarine front
ENVO:01001322	#estuarine open water lower water column
ENVO:01001323	#estuarine open water pycnocline
ENVO:01001315	#estuarine open water surface layer
ENVO:01001316	#estuarine open water upper water column
ENVO:01001329	#estuarine tidal riverine open water lower water column
ENVO:00000045	#estuary
ENVO:01001301	#estuary layer
ENVO:01000548	#eutrophic lake
ENVO:01000824	#exorheic lake
ENVO:01000546	#exosphere
ENVO:01001295	#extra-tropical cyclone
ENVO:00000232	#fen
ENVO:00000056	#fishpond
ENVO:00000039	#fjord
ENVO:00000201	#fjord lake
ENVO:01000713	#flash flood
ENVO:01000710	#flood
ENVO:01000258	#fluid cline
ENVO:00000079	#flume
ENVO:00000238	#fluvial dambo
ENVO:01001712	#free atmosphere
ENVO:2000005	#freshwater algal bloom
ENVO:00000021	#freshwater lake
ENVO:00000053	#freshwater marsh
ENVO:01000297	#freshwater river
ENVO:01000598	#freshwater spring
ENVO:00000243	#freshwater wetland
ENVO:01001672	#frontal surface of a weather front
ENVO:01000754	#fumarole-derived ice tower
ENVO:01000908	#geothermally heated river
ENVO:00000050	#geyser
ENVO:00000488	#glacial lake
ENVO:01000364	#glacier cave
ENVO:01001532	#glacier ice field
ENVO:01000547	#glaze ice layer
ENVO:00002112	#gold mine drainage
ENVO:03000074	#grease ice layer
ENVO:01000904	#ground blizzard
ENVO:00000214	#hadalpelagic zone
ENVO:01000880	#hailstorm
ENVO:00000463	#harbor
ENVO:00000153	#headwater
ENVO:00000225	#highly stratified estuary
ENVO:01000285	#holomictic lake
ENVO:00000051	#hot spring
ENVO:00000199	#humic lake
ENVO:00000516	#hummock
ENVO:00000237	#hydromorphic dambo
ENVO:01000265	#hydrothermal seep
ENVO:00000215	#hydrothermal vent
