Sub category 1:	sub category 2:	sub category 3:	sub category 4:	sub category 5:	sub category 6:	sub category 7:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
arsenic compound	arsenic oxoanion	arsonate(1-)					CHEBI:64448	arsonate(1-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsonate(2-)					CHEBI:29754	arsonate(2-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsonite(1-)					CHEBI:33410	arsonite(1-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	arsonite(2-)					CHEBI:29753	arsonite(2-)	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	dimethylarsinate					CHEBI:16223	dimethylarsinate	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoanion	methylarsonite					CHEBI:14597	methylarsonite	arsenic oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	organoarsenic compound						CHEBI:33406	organoarsenic compound	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	organoarsenic compound	dimethylarsinic acid					CHEBI:48765	dimethylarsinic acid	organoarsenic compound		DMA									http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	organoarsenic compound	monomethylarsonic acid					BSM:0210005	monomethylarsonic acid	organoarsenic compound		MMA									http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	organoarsenic compound	dimethylarsinous acid					CHEBI:23808	dimethylarsinous acid	organoarsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid						CHEBI:33407	arsenic oxoacid	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsenic acid					CHEBI:18231	arsenic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsenous acid					CHEBI:49900	arsenous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsinic acid					CHEBI:29840	arsinic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsinous acid					CHEBI:29844	arsinous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsonic acid					CHEBI:29850	arsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	methylarsonic acid					CHEBI:29852	methylarsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	phenylarsonic acid					CHEBI:29851	phenylarsonic acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	arsonous acid					CHEBI:29847	arsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	methylarsonous acid					CHEBI:17826	methylarsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic oxoacid	phenylarsonous acid					CHEBI:50019	phenylarsonous acid	arsenic oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride						CHEBI:35822	arsenic hydride	arsenic compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsanediide					CHEBI:29760	arsanediide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsane					CHEBI:47217	arsane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	diarsane					CHEBI:33110	diarsane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsanide					CHEBI:29755	arsanide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsanyl					CHEBI:33105	arsanyl	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsanylium					CHEBI:29757	arsanylium	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsonium					CHEBI:30272	arsonium	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	arsorane					CHEBI:35839	arsorane	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	diarsanetriide					CHEBI:35872	diarsanetriide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	diarsene					CHEBI:33107	diarsene	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
arsenic compound	arsenic hydride	diarsenide					CHEBI:35870	diarsenide	arsenic hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound							CHEBI:37133	barium compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium hydroxide						CHEBI:35152	barium hydroxide	barium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium hydroxide	barium dihydroxide					CHEBI:32592	barium dihydroxide	barium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium hydroxide	barium monohydroxide					CHEBI:35112	barium monohydroxide	barium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium salt						CHEBI:63320	barium salt	barium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium salt	barium chloride					CHEBI:63317	barium chloride	barium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium salt	barium sulfate					CHEBI:133326	barium sulfate	barium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
barium compound	barium salt	barium sulfide					CHEBI:32590	barium sulfide	barium salt											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
beryllium compound							CHEBI:33780	beryllium compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
beryllium compound	beryllium oxide						CHEBI:62842	beryllium oxide	beryllium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
beryllium compound	beryllium hydroxide						CHEBI:35151	beryllium hydroxide	beryllium compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
beryllium compound	beryllium hydroxide	beryllium dihydroxide					CHEBI:35102	beryllium dihydroxide	beryllium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
beryllium compound	beryllium hydroxide	beryllium monohydroxide					CHEBI:35103	beryllium monohydroxide	beryllium hydroxide											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound							CHEBI:37196	bismuth compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride						CHEBI:37197	bismuth hydride	bismuth compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	bismuthane					CHEBI:30421	bismuthane	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	bismuthanuide					CHEBI:49041	bismuthanuide	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	bismuthonium					CHEBI:30422	bismuthonium	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	bismuthorane					CHEBI:37198	bismuthorane	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	trihydridobismuth(.1+)					CHEBI:30423	trihydridobismuth(.1+)	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
bismuth compound	bismuth hydride	trihydridobismuthate(.1-)					CHEBI:30424	trihydridobismuthate(.1-)	bismuth hydride											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound							CHEBI:22916	boron compound												http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion						CHEBI:33619	boron oxoanion	boron compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	(+)-aplasmomycin					CHEBI:32617	(+)-aplasmomycin	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	borate ion					CHEBI:22909	borate ion	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	borate ion	borate				CHEBI:22908	borate	borate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	borate ion	dihydrogenborate				CHEBI:29254	dihydrogenborate	borate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	borate ion	hydrogenborate				CHEBI:29255	hydrogenborate	borate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	borate ion	tetrahydroxoborate(1-)				CHEBI:41132	tetrahydroxoborate(1-)	borate ion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	hydroperoxo(trihydroxo)borate(1-)					CHEBI:30177	hydroperoxo(trihydroxo)borate(1-)	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	metaborate					CHEBI:30173	metaborate	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	perborate(2-)					CHEBI:30175	perborate(2-)	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	tetraborate(2-)					CHEBI:38889	tetraborate(2-)	boron oxoanion											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoanion	tetraborate(2-)	borax				CHEBI:86222	borax	CHEBI:38889											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid						CHEBI:33145	boron oxoacid	boron compound											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	boric acid					CHEBI:33118	boric acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	metaboric acid					CHEBI:30172	metaboric acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	perboric acid					CHEBI:30174	perboric acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	borinic acid					CHEBI:38268	borinic acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	dimethylborinic acid					CHEBI:38276	dimethylborinic acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	boronic acid					CHEBI:38267	boronic acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	diboronic acid					CHEBI:38273	diboronic acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
boron compound	boron oxoacid	hypodiboric acid					CHEBI:38289	hypodiboric acid	boron oxoacid											http://bcodmo/sm#chemistry	http://bcodmo/sm#compound
