Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
barium	barium isotope		CHEBI:32594	barium isotope	barium										http://lod.bco-dmo.org/id/parameter/1985	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
barium	barium isotope	barium-138 isotope	BSM:0200023	barium-138 isotope	barium isotope						Add to CHEBI					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
barium	barium ion		CHEBI:39126	barium valence	barium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
barium	barium valence	barium(1+)	CHEBI:37137	barium(1+)	barium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
barium	barium valence	barium(2+)	CHEBI:37136	barium(2+)	barium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
barium	barium valence	barium(0)	CHEBI:32595	barium(0)	barium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium			CHEBI:33784	beryllium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium isotope		CHEBI:30501	beryllium isotope	beryllium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium isotope	beryllium-7 isotope	BSM:0200024	beryllium-7 isotope	beryllium isotope						Add to CHEBI					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium isotope	beryllium-9 isotope	CHEBI:52628	beryllium-9 isotope	beryllium isotope						Here this is subclass to beryllium(0) not beryllium isotope in CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium valence		CHEBI:39133	beryllium valence	beryllium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium valence	beryllium(1+)	CHEBI:30503	beryllium(1+)	beryllium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium valence	beryllium(2+)	CHEBI:30502	beryllium(2+)	beryllium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
beryllium	beryllium valence	beryllium(0)	CHEBI:33783	beryllium(0)	beryllium valence			CHEBI:33785								http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron			CHEBI:33609	boron												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron isotope		CHEBI:27560	boron isotope	boron										http://lod.bco-dmo.org/id/parameter/565378	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron isotope	boron-10 isotope	CHEBI:77014	boron-10 isotope	boron isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron isotope	boron-11 isotope	CHEBI:52451	boron-11 isotope	boron isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
boron	boron valence		CHEBI:33610	boron valence	boron											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
